timestamp,adjclose,open,high,volume,low,close,crypto,very_poor,poor,neutral,good,excellent,pct_change,volatility
2020-08-19 00:00:00,2.899040937423706,3.328696012496948,3.483863115310669,14838389,2.8381080627441406,2.899040937423706,SOL,5,14,57,16,7,-12.941088279086632,10.829473588523001
2020-08-20 00:00:00,3.2082669734954834,2.899040937423706,3.431843042373657,13756478,2.896235942840576,3.2082669734954834,SOL,3,13,55,22,7,10.666494290576578,10.557720072817366
2020-08-21 00:00:00,2.9436678886413574,3.2097179889678955,3.223289966583252,11796736,2.913770914077759,2.9436678886413574,SOL,4,13,59,17,6,-8.2474147893571,10.872923662414104
2020-08-22 00:00:00,3.020885944366455,2.945307970046997,3.1948649883270264,10296805,2.757327079772949,3.020885944366455,SOL,4,15,57,17,4,2.623191835704586,10.601051199162704
2020-08-23 00:00:00,3.3224310874938965,3.0208630561828613,3.403414964675904,11991402,3.0188379287719727,3.3224310874938965,SOL,4,14,61,17,4,9.98201020100684,10.706076712629724
2020-08-24 00:00:00,3.3449859619140625,3.312222003936768,3.607538938522339,15785208,3.224431037902832,3.3449859619140625,SOL,5,17,61,18,4,0.6788665837213603,10.726072365752533
2020-08-25 00:00:00,3.264849901199341,3.3496639728546143,3.3582470417022705,13444308,3.027719020843506,3.264849901199341,SOL,5,14,62,19,4,-2.395706936505837,10.57556660830035
2020-08-26 00:00:00,3.5583748817443848,3.266041040420532,3.795324087142944,22147431,3.1943109035491943,3.5583748817443848,SOL,3,13,56,18,8,8.990458655916079,9.32294323665415
2020-08-27 00:00:00,3.4450600147247314,3.5578439235687256,3.854706048965454,21031356,3.2922139167785645,3.4450600147247314,SOL,4,13,60,20,5,-3.1844555670903385,9.23001048583656
2020-08-28 00:00:00,4.011393070220947,3.4524950981140137,4.309593200683594,27212888,3.4472808837890625,4.011393070220947,SOL,4,13,62,21,4,16.438989540838733,9.04897064329038
2020-08-29 00:00:00,3.968808889389038,4.01421594619751,4.105240821838379,14585964,3.78711199760437,3.968808889389038,SOL,4,14,61,21,4,-1.0615808544926164,9.011323158956928
2020-08-30 00:00:00,4.4358229637146,3.970010995864868,4.705005168914795,22220239,3.919131994247437,4.4358229637146,SOL,4,14,57,18,4,11.767109158976252,8.585972254049633
2020-08-31 00:00:00,4.782045841217041,4.4216790199279785,4.872941017150879,20950150,4.109681129455566,4.782045841217041,SOL,5,13,56,17,9,7.805155443185474,8.649627917213733
2020-09-01 00:00:00,4.344515800476074,4.781050205230713,4.94473123550415,16944927,4.344515800476074,4.344515800476074,SOL,4,13,58,19,4,-9.149432173356464,8.528820114551472
